Table S3. Acknowledgement of GISAID sequences used in the design of SCV2 PepSeq Library.

Virus Name	Accession No.	Collected	Originating laboratory	Submitting laboratory	Authors
USA/UT-03/2020	EPI_ISL_415541	3/13/20	Utah Public Health Laboratory	Utah Public Health Laboratory	Erin Young et al
USA/UT-04/2020	EPI_ISL_415542	3/13/20	Utah Public Health Laboratory	Utah Public Health Laboratory	Erin Young et al
USA/UT-05/2020	EPI_ISL_415543	3/13/20	Utah Public Health Laboratory	Utah Public Health Laboratory	Erin Young et al
USA/UT-06/2020	EPI_ISL_415544	3/13/20	Utah Public Health Laboratory	Utah Public Health Laboratory	Erin Young et al
Canada/BC_02421/2020	EPI_ISL_415581	3/1/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_40860/2020	EPI_ISL_415583	3/3/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_41851/2020	EPI_ISL_415584	3/2/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
Canada/BC_83109/2020	EPI_ISL_415588	3/5/20	BCCDC Public Health Laboratory	BCCDC Public Health Laboratory	Harrigan et al
USA/WA-UW63/2020	EPI_ISL_415591	3/10/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW64/2020	EPI_ISL_415592	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW66/2020	EPI_ISL_415594	3/10/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW67/2020	EPI_ISL_415595	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW68/2020	EPI_ISL_415596	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW69/2020	EPI_ISL_415597	3/10/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW70/2020	EPI_ISL_415598	3/10/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW71/2020	EPI_ISL_415599	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW72/2020	EPI_ISL_415600	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW73/2020	EPI_ISL_415601	3/10/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW74/2020	EPI_ISL_415602	3/10/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW75/2020	EPI_ISL_415603	3/10/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW76/2020	EPI_ISL_415604	3/10/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW40/2020	EPI_ISL_415605	3/5/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW41/2020	EPI_ISL_415606	3/8/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW43/2020	EPI_ISL_415608	3/8/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW44/2020	EPI_ISL_415609	3/8/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW45/2020	EPI_ISL_415610	3/8/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW46/2020	EPI_ISL_415611	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW48/2020	EPI_ISL_415613	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW49/2020	EPI_ISL_415614	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW50/2020	EPI_ISL_415615	3/8/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW51/2020	EPI_ISL_415616	3/8/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW52/2020	EPI_ISL_415617	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW54/2020	EPI_ISL_415619	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW55/2020	EPI_ISL_415620	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW56/2020	EPI_ISL_415621	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW57/2020	EPI_ISL_415622	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW59/2020	EPI_ISL_415624	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW60/2020	EPI_ISL_415625	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
USA/WA-UW62/2020	EPI_ISL_415627	3/9/20	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
Scotland/EDB004/2020	EPI_ISL_415629	3/4/20	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian	McHugh M et al
Scotland/CVR07/2020	EPI_ISL_415630	3/9/20	West of Scotland Specialist Virology Centre, NHSGGC	MRC-University of Glasgow Centre for Virus Research	Kathy Smollett et al
Scotland/CVR10/2020	EPI_ISL_415631	3/10/20	West of Scotland Specialist Virology Centre, NHSGGC	MRC-University of Glasgow Centre for Virus Research	Kathy Smollett et al
Scotland/EDB003/2020	EPI_ISL_415640	3/8/20	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian	Virology Department, Royal Infirmary of Edinburgh, NHS Lothian	McHugh M et al
Georgia/Tb-54/2020	EPI_ISL_415641	2/27/20	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Nato Kotaria et al
Georgia/Tb-477/2020	EPI_ISL_415642	3/10/20	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Nato Kotaria et al
Georgia/Tb-468/2020	EPI_ISL_415643	3/10/20	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Nato Kotaria et al
Georgia/Tb-82/2020	EPI_ISL_415644	2/28/20	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Nato Kotaria et al
Denmark/SSI-104/2020	EPI_ISL_415648	3/3/20	Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.	ViFU	Morten Rasmussen et al
France/HF2039/2020	EPI_ISL_415649	3/5/20	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert et al
France/IDF2075/2020	EPI_ISL_415650	3/2/20	Hôpital Instruction des Armées - BEGIN	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert et al
France/BFC2094/2020	EPI_ISL_415651	3/5/20	Unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert et al
France/BFC2147/2020	EPI_ISL_415652	3/5/20	unknown	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert et al
France/HF2174/2020	EPI_ISL_415654	3/9/20	Centre Hospitalier Compiègne Laboratoire de Biologie	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélnie Albert et al
Wales/PHW27/2020	EPI_ISL_415655	3/12/20	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	Catherine Moore et al
Wales/PHW33/2020	EPI_ISL_415656	3/12/20	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	Catherine Moore et al
Wales/PHW37/2020	EPI_ISL_415657	3/12/20	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	Catherine Moore et al
Chile/Santiago_op2d1/2020	EPI_ISL_415658	3/6/20	Laboratory of Molecular Virology, Pontificia Universidad Católica de Chile	MSHS Pathogen Surveillance Program	Rafael A. Medina et al
Wales/PHW28/2020	EPI_ISL_415659	3/12/20	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	Catherine Moore et al
Chile/Santiago_op3d1/2020	EPI_ISL_415660	3/7/20	Laboratory of Molecular Virology, Pontificia Universidad Católica de Chile	MSHS Pathogen Surveillance Program	Rafael A. Medina et al
Chile/Santiago_op4d1/2020	EPI_ISL_415661	3/8/20	Laboratory of Molecular Virology, Pontificia Universidad Católica de Chile	MSHS Pathogen Surveillance Program	Rafael A. Medina et al
Switzerland/GR2988/2020	EPI_ISL_415698	2/27/20	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F. et al
Switzerland/GR3043/2020	EPI_ISL_415699	2/27/20	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F. et al
Switzerland/GE1402/2020	EPI_ISL_415700	2/28/20	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F. et al
Switzerland/BS0914/2020	EPI_ISL_415701	3/2/20	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F. et al
Switzerland/SZ1417/2020	EPI_ISL_415702	3/2/20	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F. et al
Switzerland/TI2045/2020	EPI_ISL_415703	3/1/20	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F. et al
Switzerland/BE2536/2020	EPI_ISL_415704	3/4/20	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F. et al
Switzerland/GE4135/2020	EPI_ISL_415705	3/6/20	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F. et al
Switzerland/GE06207/2020	EPI_ISL_415706	3/6/20	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F. et al
Switzerland/GE6679/2020	EPI_ISL_415707	3/8/20	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F. et al
Switzerland/GE4984/2020	EPI_ISL_415708	3/7/20	Hôpitaux universitaires de Genève Laboratoire de Virologie	Hôpitaux universitaires de Genève Laboratoire de Virologie	Laubscher F. et al
Russia/StPetersburg-3524/2020	EPI_ISL_415710	3/15/20	WHO National Influenza Centre Russian Federation	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
Taiwan/CGMH-CGU-03/2020	EPI_ISL_415741	2/26/20	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	Kuo-Chien Tsao et al
Taiwan/CGMH-CGU-04/2020	EPI_ISL_415742	2/27/20	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	Kuo-Chien Tsao et al
Taiwan/CGMH-CGU-05/2020	EPI_ISL_415743	2/27/20	Laboratory Medicine	Department of Laboratory Medicine, Lin-Kou Chang Gung Memorial Hospital, Taoyuan, Taiwan	Kuo-Chien Tsao et al
Peru/010/2020	EPI_ISL_415787	3/10/20	Laboratorio de Referencia Nacional de Virus Respiratorio. Instituto Nacional de Salud. Peru	Laboratorio de Referencia Nacional de Biotecnologia y Biologia Molecular.Instituto Nacional de Salud.Peru	Carlos Padilla Rojas et al
Wales/PHW32/2020	EPI_ISL_415920	3/12/20	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	Catherine Moore et al
Wales/PHW35/2020	EPI_ISL_416024	3/11/20	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	Catherine Moore et al
Wales/PHW21/2020	EPI_ISL_416026	3/11/20	Wales Specialist Virology Centre	Public Health Wales Microbiology Cardiff	Catherine Moore et al
Brazil/SP-07/2020	EPI_ISL_416028	3/3/20	National Influenza Center - Instituto Adolfo Lutz	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi et al
Brazil/SP-08/2020	EPI_ISL_416029	3/4/20	Laboiratório Fleury	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi et al
Brazil/SP-09/2020	EPI_ISL_416031	3/4/20	National Influenza Center - Instituto Adolfo Lutz	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi et al
Brazil/SP-10/2020	EPI_ISL_416032	3/4/20	National Influenza Center - Instituto Adolfo Lutz	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi et al
Brazil/SP-11/2020	EPI_ISL_416033	3/3/20	Hospital Israelita Albert Einstein	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi et al
Brazil/SP-12/2020	EPI_ISL_416034	3/4/20	Hospital Israelita Albert Einstein	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi et al
Brazil/SP-13/2020	EPI_ISL_416035	3/5/20	National Influenza Center - Instituto Adolfo Lutz	Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory	Claudio Tavares Sacchi et al
Denmark/SSI-05/2020	EPI_ISL_416140	3/2/20	Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.	Statens Serum Institute	Morten Rasmussen et al
Denmark/SSI-09/2020	EPI_ISL_416141	3/3/20	Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.	Statens Serum Institute	Morten Rasmussen et al
Denmark/SSI-01/2020	EPI_ISL_416142	2/26/20	Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.	Statens Serum Institute	Morten Rasmussen et al
Denmark/SSI-02/2020	EPI_ISL_416143	2/28/20	Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.	ViFU	Morten Rasmussen et al
Denmark/SSI-03/2020	EPI_ISL_416144	3/1/20	Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.	ViFU	Morten Rasmussen et al
Denmark/SSI-04/2020	EPI_ISL_416153	3/2/20	Department of Virus and Microbiological Special diagnostics, Statens Serum Institut, Copenhagen, Denmark.	ViFU	Morten Rasmussen et al
HongKong/CUHK1/2020	EPI_ISL_416314	2/7/20	Department of Microbiology, Faculty of Medicine, The Chinese University of Hong Kong, Hong Kong SAR, China	Department of Microbiology, Faculty of Medicine, Chinese University of Hong Kong, Hong Kong SAR, China	Zigui Chen et al
Shanghai/SH0002/2020	EPI_ISL_416316	1/25/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0003/2020	EPI_ISL_416317	1/25/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0004/2020	EPI_ISL_416318	1/28/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0005/2020	EPI_ISL_416319	1/28/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0007/2020	EPI_ISL_416320	1/28/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0008/2020	EPI_ISL_416321	1/28/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0009/2020	EPI_ISL_416322	1/29/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0010/2020	EPI_ISL_416323	1/29/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0011/2020	EPI_ISL_416324	1/29/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0012/2020	EPI_ISL_416325	2/2/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0013/2020	EPI_ISL_416326	1/30/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0020/2020	EPI_ISL_416329	2/1/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0021/2020	EPI_ISL_416330	2/2/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0022/2020	EPI_ISL_416331	1/30/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0023/2020	EPI_ISL_416332	1/30/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0024/2020	EPI_ISL_416333	1/30/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0025/2020	EPI_ISL_416334	2/6/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0026/2020	EPI_ISL_416335	2/2/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0027/2020	EPI_ISL_416336	2/1/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0028/2020	EPI_ISL_416337	2/4/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0029/2020	EPI_ISL_416338	2/1/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0030/2020	EPI_ISL_416339	2/3/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0031/2020	EPI_ISL_416340	2/2/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0032/2020	EPI_ISL_416341	2/1/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0033/2020	EPI_ISL_416342	2/4/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0039/2020	EPI_ISL_416348	2/6/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0040/2020	EPI_ISL_416349	1/30/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0041/2020	EPI_ISL_416350	1/29/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0043/2020	EPI_ISL_416352	1/30/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0044/2020	EPI_ISL_416353	2/4/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0045/2020	EPI_ISL_416354	2/4/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0047/2020	EPI_ISL_416355	2/4/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0050/2020	EPI_ISL_416358	2/5/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0051/2020	EPI_ISL_416359	2/6/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0053/2020	EPI_ISL_416361	2/1/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0054/2020	EPI_ISL_416362	2/2/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0055/2020	EPI_ISL_416363	2/8/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0056/2020	EPI_ISL_416364	2/8/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0058/2020	EPI_ISL_416365	1/30/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0059/2020	EPI_ISL_416366	1/30/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0060/2020	EPI_ISL_416367	2/1/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0065/2020	EPI_ISL_416368	2/5/20	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
